id,label
0,0
1,1
2,1
3,1
4,0
5,0
6,1
7,1
8,1
9,1
10,0
11,1
12,0
13,0
14,1
15,0
16,1
17,0
18,0
19,0
20,0
21,1
22,0
23,0
24,0
25,0
26,0
27,0
28,1
29,1
30,1
31,1
32,0
33,0
34,1
35,1
36,0
37,1
38,0
39,0
40,0
41,1
42,0
43,1
44,1
45,0
46,0
47,1
48,1
49,0
50,1
51,1
52,1
53,1
54,1
55,0
56,0
57,1
58,0
59,1
60,0
61,1
62,0
63,1
64,0
65,1
66,0
67,1
68,0
69,1
70,0
71,1
72,0
73,0
74,1
75,0
76,1
77,1
78,1
79,1
80,0
81,0
82,0
83,0
84,0
85,0
86,1
87,1
88,1
89,1
90,0
91,1
92,0
93,0
94,1
95,0
96,0
97,1
98,0
99,1
100,1
101,0
102,0
103,1
104,0
105,0
106,0
107,0
108,0
109,0
110,1
111,0
112,1
113,1
114,0
115,0
116,1
117,1
118,0
119,1
120,1
121,1
122,1
123,0
124,1
125,0
126,0
127,1
128,0
129,0
130,0
131,0
132,1
133,0
134,0
135,1
136,0
137,1
138,1
139,1
140,1
141,1
142,0
143,0
144,1
145,0
146,1
147,1
148,1
149,1
150,0
151,0
152,1
153,0
154,1
155,1
156,1
157,1
158,1
159,1
160,0
161,0
162,1
163,1
164,0
165,0
166,1
167,1
168,1
169,1
170,0
171,0
172,0
173,1
174,1
175,1
176,1
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,1
185,0
186,1
187,0
188,1
189,1
190,1
191,1
192,0
193,1
194,1
195,1
196,0
197,1
198,1
199,1
200,1
201,1
202,0
203,1
204,0
205,0
206,1
207,0
208,1
209,0
210,1
211,0
212,1
213,0
214,0
215,1
216,0
217,1
218,0
219,0
220,1
221,0
222,1
223,1
224,0
225,1
226,1
227,0
228,0
229,0
230,1
231,1
232,0
233,1
234,0
235,0
236,0
237,1
238,1
239,1
240,1
241,1
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,1
250,0
251,1
252,1
253,1
254,0
255,1
256,1
257,1
258,0
259,1
260,0
261,1
262,1
263,1
264,1
265,0
266,1
267,1
268,0
269,0
270,0
271,1
272,1
273,1
274,0
275,0
276,1
277,1
278,0
279,0
280,1
281,1
282,1
283,1
284,0
285,1
286,0
287,0
288,0
289,1
290,1
291,1
292,0
293,1
294,0
295,1
296,1
297,1
298,1
299,0
300,1
301,1
302,0
303,0
304,0
305,1
306,1
307,1
308,0
309,0
310,0
311,1
312,1
313,0
314,1
315,1
316,0
317,1
318,0
319,1
320,0
321,1
322,1
323,1
324,1
325,0
326,0
327,0
328,0
329,0
330,1
331,0
332,0
333,0
334,0
335,1
336,1
337,0
338,1
339,1
340,0
341,0
342,0
343,0
344,1
345,0
346,0
347,0
348,0
349,0
350,0
351,1
352,1
353,1
354,1
355,1
356,0
357,1
358,1
359,0
360,1
361,1
362,1
363,0
364,1
365,1
366,1
367,0
368,1
369,0
370,0
371,1
372,1
373,1
374,1
375,0
376,0
377,1
378,0
379,1
380,0
381,0
382,0
383,0
384,1
385,1
386,1
387,1
388,1
389,0
390,1
391,1
392,1
393,0
394,0
395,0
396,0
397,0
398,0
399,1
400,1
401,0
402,1
403,0
404,0
405,1
406,1
407,1
408,1
409,1
410,1
411,0
412,0
413,0
414,1
415,0
416,0
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,0
425,1
426,0
427,1
428,0
429,0
430,0
431,1
432,0
433,1
434,1
435,1
436,1
437,1
438,1
439,0
440,0
441,1
442,1
443,1
444,0
445,1
446,1
447,0
448,0
449,1
450,0
451,1
452,0
453,1
454,0
455,1
456,0
457,0
458,0
459,1
460,0
461,1
462,0
463,0
464,0
465,0
466,0
467,1
468,1
469,0
470,1
471,0
472,0
473,1
474,1
475,1
476,0
477,0
478,1
479,1
480,1
481,1
482,1
483,0
484,1
485,0
486,1
487,0
488,0
489,0
490,1
491,1
492,0
493,1
494,0
495,1
496,1
497,0
498,1
499,1
500,1
501,0
502,1
503,1
504,0
505,1
506,0
507,0
508,0
509,0
510,0
511,1
512,1
513,1
514,1
515,0
516,0
517,0
518,1
519,0
520,1
521,0
522,1
523,0
524,1
525,1
526,1
527,1
528,1
529,1
530,0
531,0
532,0
533,1
534,1
535,0
536,0
537,0
538,1
539,1
540,1
541,0
542,1
543,0
544,1
545,0
546,0
547,0
548,1
549,0
550,0
551,1
552,1
553,1
554,0
555,0
556,0
557,1
558,0
559,1
560,0
561,1
562,1
563,0
564,1
565,1
566,1
567,1
568,0
569,1
570,0
571,0
572,0
573,0
574,1
575,1
576,0
577,0
578,0
579,0
580,0
581,0
582,1
583,0
584,0
585,0
586,0
587,1
588,1
589,0
590,1
591,1
592,1
593,0
594,1
595,1
596,1
597,1
598,0
599,1
600,1
601,1
602,0
603,0
604,0
605,0
606,0
607,1
608,1
609,1
610,0
611,1
612,1
613,1
614,0
615,0
616,1
617,1
618,1
619,0
620,0
621,0
622,0
623,1
624,1
625,0
626,0
627,0
628,1
629,1
630,1
631,1
632,0
633,1
634,0
635,1
636,1
637,1
638,1
639,0
640,1
641,1
642,1
643,0
644,1
645,1
646,0
647,1
648,0
649,1
650,1
651,0
652,0
653,1
654,1
655,1
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,1
664,0
665,0
666,1
667,1
668,1
669,1
670,0
671,0
672,0
673,0
674,1
675,0
676,1
677,1
678,1
679,0
680,0
681,1
682,1
683,1
684,0
685,0
686,1
687,1
688,1
689,0
690,0
691,0
692,0
693,1
694,0
695,0
696,1
697,1
698,0
699,0
700,1
701,1
702,0
703,0
704,1
705,1
706,0
707,0
708,0
709,1
710,0
711,0
712,1
713,0
714,0
715,1
716,0
717,0
718,1
719,0
720,0
721,0
722,1
723,1
724,0
725,0
726,1
727,1
728,0
729,0
730,0
731,0
732,0
733,1
734,0
735,0
736,1
737,0
738,1
739,1
740,0
741,1
742,0
743,1
744,1
745,1
746,1
747,1
748,0
749,0
750,0
751,1
752,0
753,1
754,1
755,0
756,1
757,0
758,0
759,0
760,0
761,1
762,0
763,1
764,1
765,1
766,1
767,1
768,1
769,0
770,1
771,0
772,0
773,0
774,1
775,1
776,0
777,0
778,1
779,1
780,1
781,1
782,0
783,1
784,0
785,0
786,1
787,0
788,1
789,1
790,0
791,1
792,0
793,0
794,1
795,1
796,1
797,0
798,1
799,0
800,0
801,1
802,0
803,0
804,1
805,0
806,1
807,0
808,1
809,1
810,0
811,1
812,1
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,1
823,1
824,0
825,1
826,0
827,0
828,1
829,1
830,0
831,1
832,0
833,1
834,0
835,0
836,1
837,0
838,0
839,0
840,1
841,0
842,1
843,0
844,0
845,1
846,1
847,0
848,1
849,1
850,1
851,1
852,0
853,0
854,1
855,0
856,1
857,1
858,0
859,0
860,0
861,1
862,1
863,0
864,1
865,0
866,0
867,1
868,0
869,1
870,0
871,0
872,1
873,0
874,0
875,0
876,1
877,0
878,1
879,1
880,1
881,1
882,1
883,0
884,1
885,1
886,1
887,1
888,1
889,1
890,0
891,0
892,0
893,0
894,0
895,0
896,1
897,0
898,1
899,1
900,0
901,0
902,1
903,0
904,0
905,0
906,0
907,0
908,1
909,1
910,1
911,1
912,0
913,0
914,0
915,1
916,1
917,1
918,0
919,0
920,0
921,1
922,0
923,0
924,1
925,0
926,1
927,1
928,1
929,0
930,0
931,1
932,0
933,1
934,0
935,0
936,1
937,0
938,0
939,1
940,0
941,0
942,1
943,0
944,1
945,0
946,0
947,1
948,0
949,0
950,1
951,1
952,0
953,0
954,0
955,0
956,0
957,0
958,1
959,1
960,0
961,0
962,0
963,0
964,0
965,1
966,1
967,1
968,1
969,1
970,1
971,0
972,1
973,1
974,0
975,0
976,0
977,0
978,0
979,1
980,1
981,0
982,0
983,0
984,1
985,1
986,0
987,1
988,0
989,1
990,1
991,0
992,0
993,1
994,0
995,1
996,1
997,0
998,0
999,1
1000,0
1001,0
1002,1
1003,1
1004,0
1005,0
1006,0
1007,0
1008,1
1009,1
1010,1
1011,1
1012,0
1013,1
1014,0
1015,0
1016,0
1017,1
1018,0
1019,0
1020,0
1021,1
1022,0
1023,1
1024,1
1025,1
1026,0
1027,1
1028,0
1029,1
1030,0
1031,0
1032,1
1033,0
1034,1
1035,1
1036,0
1037,0
1038,0
1039,0
1040,1
1041,0
1042,0
1043,1
1044,1
1045,1
1046,1
1047,0
1048,1
1049,1
1050,1
1051,0
1052,0
1053,0
1054,1
1055,1
1056,1
1057,0
1058,0
1059,1
1060,1
